연번,비상소화장치일련번호,비상소화장치고유번호,geometry
238,110082582,000323,POINT (126.95352662126292 37.496885119100035)
239,110082583,000317,POINT (126.93383923449302 37.496526691775955)
240,110082584,000316,POINT (126.93246360934533 37.50370420434474)
241,110082586,000326,POINT (126.91268282239739 37.488271826636385)
242,110082588,000327,POINT (126.94111837049499 37.49893668668902)
243,110082590,000329,POINT (126.91163100339928 37.49034087816696)
244,110082591,000333,POINT (126.95713188377727 37.50752758857086)
245,110082592,000335,POINT (126.96429325035957 37.50326028027097)
246,110082593,000331,POINT (126.9381339124119 37.49718489560882)
247,110082595,000332,POINT (126.9701260457046 37.48010785736353)
248,110081482,44,POINT (127.05639087642167 37.61569143133668)
249,110081483,45,POINT (127.03577525943639 37.599916364802404)
250,110081484,46,POINT (127.0002917968746 37.60558698608719)
251,110081485,47,POINT (127.00270031270969 37.60971549449679)
252,110081486,48,POINT (127.04644354751241 37.611847654418945)
253,110081489,63,POINT (127.00760452435858 37.59947364732429)
254,110081490,64,POINT (127.03310136259546 37.593835893127235)
255,110081492,66,POINT (127.04565619156611 37.613018524708586)
256,110081493,67,POINT (127.03599988688927 37.60637526934051)
257,110081494,68,POINT (127.06084919324158 37.60909535401496)
258,110081495,69,POINT (127.0341017053854 37.59659965969543)
259,110081497,71,POINT (127.03306374336012 37.597113728219036)
260,110081498,136,POINT (127.05004917301824 37.60667131976963)
261,110081499,73,POINT (127.00521942315946 37.598773316586616)
262,110081500,74,POINT (127.01285884665019 37.58500636957502)
263,110081501,75,POINT (127.05085813992275 37.605204804374075)
264,110080567,122,POINT (126.96086018012808 37.57074923824427)
265,110080570,5-23,POINT (126.95936845336335 37.60456230387035)
266,110082441,039,POINT (126.86570521939177 37.543845960306705)
267,110081347,000002,POINT (126.89993315074771 37.49776676794007)
268,110081348,000008,POINT (126.91216739098364 37.50722675083214)
269,110081349,000010,POINT (126.92319577764779 37.51403127153284)
270,110081356,000022,POINT (126.90443576764723 37.53410193097044)
271,110081358,000027,POINT (126.89739045691458 37.490481377654504)
272,110081354,000016,POINT (126.9167476637438 37.51023896096317)
273,110085223,000017,POINT (127.04844933751653 37.53669694200464)
274,110081360,000029,POINT (126.89913019456577 37.49064014137417)
